"PUBLISHER","BOOK_COUNT"
Thompson Learning,1
Vista Higher Learning,1
Demos New York,1
Trego Hill Publication,1
Harper,1
Mayfield Publishing Company,1
Transit,1
The Goodheart-Willcox Co Inc,1
Vision,1
Proctor & Gamble Co,1
Jane Eayre Fryer,1
New York: Modern Librar,1
William E Miller,1
E R Squibb & Sons,1
California State Printing Office,1
A Harvest Book,1
The Caxton Printers LTD,1
Nevada Bureau of Mines,1
Louis Greenfield Publsiher,1
The Year Book Publishers,1
Perpetua Book,1
Morgan & Lester,1
Avalon Books,1
TFH Publications,1
Stravon Publishers,1
Michel Lvy Frres,1
Steinmart Publishing,1
Cassell & Company Limited,1
The J Dewing Co,1
George M Hill Co,1
The Book League of America,1
Atkinson Mentzer & Grover,1
Aerie Books Ltd,1
George W Jacobs & Co,1
Design Resource,1
Academic Industries,1
Sheltr,1
Death Valley 49ers,1
Viking Penguin Inc,1
Old Time Bottle Pub,1
Hillstone,1
Amulet Books,1
Ten Speed Press,1
Heinemann,1
Fawcett Popular Library,1
Wadsworth Publishing Co,1
David R Godine Publisher,1
Harper Perrenial,1
Healing Arts Press,1
Deseret Book Co,1
An Archway Paperback,1
The Globe Pequot Press,1
Diamond Books,1
Windows,1
Klutz Press,1
Eureka County History Project,1
Mosby,1
Grolier Books,1
Max Out Procuctions,1
Lippincott,1
Smithmark,1
West Bow,1
Lorenz Books,1
Demos,1
Dial Press,1
American Book Comp,1
Tientsin Feather Co LTD,1
Funk & Wagnalls Co,1
The John C Winston Co,1
A Bantam Starlight Book,1
Security Trust & Savings Bank,1
Avon Publishers,1
Whitman Publishing,1
Burce Publishing,1
American Technical Society,1
Medical Research Press,1
Farrar Straus & Young,1
Specialty Merchandise Corp,1
Graphic Publishing,1
Beginner Books By Random House,1
Capricorn Books,1
Henry Z Walck Inc,1
Andrew Helskell,1
Readers Digest Association,1
The American News Company,1
The Bobbs-Merrill Co,1
W B Saunders & Company,1
The Saalfield Publishing Co,1
Nelson Doubleday,1
J & P Coats,1
Statue of Liberty-Ellis Island Foundation,1
Worthington Press,1
A Collectors Showcase,1
Harper/Hazeldon,1
Reno Little Theator,1
Gem Guides Book Co,1
Bantan Pathfinder Editions,1
Fidelity Publishing,1
USDepartment of Health Education and Welfare,1
Weather Corporation,1
Life 1969,1
Macmillan,1
Classic Press Inc,1
Michael Heron & Souvenir Press,1
Business Publications Inc,1
The Everton Publishers Inc,1
Warner Paperback Library,1
Lohs Graphics Nest,1
Scotties,1
Athenium,1
Merideth Corporation,1
Fountain Press,1
DK Publishers,1
A Topaz Book,1
Fontana/Collins,1
Holiday House,1
American Map Org,1
The Humorous Corp,1
Pyrola Publishing,1
Smithsonion Wild Heritage Collection,1
Devorss,1
Research Institute of America,1
